name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
Dijual Rumah di Cluster Yarra JGC Cakung Jakarta Timur,2000000000,4,2,19.047.619,Rumah Dijual,85,105,Tak Berperabot,,2,,2022-07-07,-6.178626,106.953344,"https://maps.google.com/maps?ll=-6.178626,106.953344&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-cluster-yarra-jgc-cakung-jakarta-timur-oleh-lili-ie-20199921
Dijual rumah strategis di Pulogebang Permai Cakung Jakarta timur,5500000000,7,7,12.614.679,Rumah Dijual,350,436,Tak Berperabot,,,,2022-07-07,,,,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-strategis-di-pulogebang-permai-cakung-jakarta-timur-oleh-anna-18514318
Dijual rumah di metland non cluster cakung jakarta timur,2000000000,4,2,13.333.333,Rumah Dijual,110,150,,,,,2022-07-06,-6.182629,106.947666,"https://maps.google.com/maps?ll=-6.182629,106.947666&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-metland-non-cluster-cakung-jakarta-timur-oleh-susy-bangun-19483722
Dijual Rumah di Jakarta Garden City (JGC ) Cakung Jakarta Timur,3750000000,5,3,18.844.221,Rumah Dijual,150,199,Tak Berperabot,,2,,2022-07-06,-6.178626,106.953344,"https://maps.google.com/maps?ll=-6.178626,106.953344&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-jakarta-garden-city-jgc-cakung-jakarta-timur-oleh-lili-ie-20306812
DIJUAL CEPAT RUMAH DIBAWAH NJOP DI TAMAN MODERN CAKUNG ! !!,885000000,3,2,8.509.615,Rumah Dijual,198,104,Tak Berperabot,,2,,2022-07-06,,,,,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-dibawah-njop-di-taman-modern-cakung-oleh-adhi-tan-19547333
"Cluster Wisteria tahap 2 , rumah 2 lantai + attic di cakung",1969000000,3,2,23.440.476,Rumah Dijual,74,84,,,1,,2022-07-06,,,,,https://www.rumah.com/listing-properti/dijual-cluster-wisteria-tahap-2-rumah-2-lantai-attic-di-cakung-oleh-james-immanuel-18208154
Di jual rumah baru Di Taman Modern Cakung Jakarta Timur,1950000000,4,3,13.541.667,Rumah Dijual,250,144,,,2,,2022-07-05,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-baru-di-taman-modern-cakung-jakarta-timur-oleh-lena-chen-20300999
Dijual rumah cluster cikini metland menteng cakung jkt timur,1300000000,3,2,10.156.250,Rumah Dijual,90,128,Tak Berperabot,,1,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cluster-cikini-metland-menteng-cakung-jkt-timur-oleh-hartono-20295739
"Dijual Rumah Mewah Brand New, Dalam Komplek Pertamina Cakung",6000000000,4,5,16.806.723,Rumah Dijual,600,357,,,4,,2022-07-04,,,,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-brand-new-dalam-komplek-pertamina-cakung-oleh-denny-suryanto-19143096
Dijual Cepat Rumah di Royal Residence Cakung Jakarta Timur,3500000000,4,5,15.909.091,Rumah Dijual,260,220,Sebagian,,4,,2022-07-04,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-di-royal-residence-cakung-jakarta-timur-oleh-eva-tha-20292987
